,0
0,120
1,53
2,-233
3,-235
4,39
5,121
6,121
7,119
8,121
9,114
10,-116
11,-116
12,-115
13,-116
14,-6
15,106
16,105
17,106
18,44
19,-4
20,-3
21,-4
22,-39
23,-107
24,-107
25,-107
26,-107
27,120
28,174
29,149
30,-104
31,-103
32,-104
33,-69
34,109
35,108
36,52
37,-21
38,-21
39,-727
40,28
41,28
42,28
43,85
44,143
45,142
46,143
47,141
48,22
49,-193
50,-194
51,-194
52,18
53,96
54,95
55,-2
56,-142
57,158
58,191
59,190
60,191
61,-144
62,-153
63,-154
64,-154
65,-153
66,-154
67,20
68,124
69,124
70,142
71,144
72,143
73,-41
74,-63
75,-64
76,-5
77,3
78,3
79,3
80,3
81,3
82,4
83,3
84,3
85,3
86,3
87,3
88,4
89,3
90,3
91,3
92,3
93,3
94,107
95,144
96,144
97,-72
98,-156
99,-155
100,-131
101,107
102,106
103,108
104,23
105,-2
106,-2
107,-2
108,-2
109,-2
110,-31
111,-233
112,-234
113,-234
114,-144
115,220
116,220
117,-37
118,-111
119,-110
120,-110
121,-154
122,-190
123,-189
124,-189
125,-101
126,86
127,87
128,87
129,86
130,87
131,87
132,-76
133,-155
134,-155
135,36
136,139
137,139
138,138
139,139
140,-26
141,-179
142,-180
143,90
144,159
145,159
146,159
147,-48
148,-206
149,-206
150,-206
151,-206
152,-205
153,-206
154,-192
155,-191
156,-191
157,-190
158,-191
159,-191
160,166
161,214
162,-37
163,-115
164,-115
165,-115
166,-3
167,96
168,96
169,96
170,-28
171,-110
172,-109
173,12
174,99
175,98
176,99
177,98
178,-93
179,-156
180,-156
181,-136
182,7
183,6
184,7
185,90
186,175
187,-57
188,-162
189,171
190,196
191,-116
192,-116
193,-101
194,232
195,232
